Month,Sales(kg),Supplier_Name
33,1801.42,Tesco
34,2630.64,Tesco
35,3317.74,Tesco
36,3777.29,Tesco
1,3757.47,Metro
2,4468.08,Metro
3,4987.06,Metro
4,5278.98,Metro
5,6085.67,Metro
6,6741.61,Metro
7,6696.39,Metro
8,7061.48,Metro
9,7149.37,Metro
10,7635.49,Metro
11,7312.63,Metro
12,7058.3,Metro
13,6514.05,Metro
14,6369.61,Metro
15,5636.18,Metro
16,5218.03,Metro
17,4474.43,Metro
18,4095.74,Metro
19,3424.16,Metro
20,2626.04,Metro
21,2136.84,Metro
22,1279.64,Metro
23,709.29,Metro
24,689.15,Metro
25,325.82,Metro
26,218.13,Metro
27,480.29,Metro
28,221.79,Metro
29,-4.67,Metro
30,657.4,Metro
31,529.78,Metro
32,1150.96,Metro
33,1756.79,Metro
34,2700.19,Metro
35,2836.71,Metro
36,3469.36,Metro
1,3251.27,Aldi
2,3722.32,Aldi
3,4645.63,Aldi
4,4732.65,Aldi
5,5193.56,Aldi
6,5740.74,Aldi
7,6051.75,Aldi
8,6767.74,Aldi
9,6702.21,Aldi
10,6556.15,Aldi
11,6214.83,Aldi
12,6447.58,Aldi
13,5800.78,Aldi
14,5326.25,Aldi
15,5431.19,Aldi
16,4753.57,Aldi
17,4325.33,Aldi
18,3627.92,Aldi
19,3149.12,Aldi
20,2270.56,Aldi
21,1644.9,Aldi
22,1484.66,Aldi
23,746.05,Aldi
24,403.2,Aldi
25,172.12,Aldi
26,85.51,Aldi
27,-67.51,Aldi
28,-245.39,Aldi
29,31.37,Aldi
30,-54.11,Aldi
31,838.67,Aldi
32,798.46,Aldi
33,1372.41,Aldi
34,2132.06,Aldi
35,2539,Aldi
36,3579.57,Aldi
1,3679.11,Kroger
2,4694.19,Kroger
3,5313.43,Kroger
4,5723.7,Kroger
5,6633.09,Kroger
6,6981.98,Kroger
7,7559.55,Kroger
8,7847.34,Kroger
9,8272.37,Kroger
10,8138.71,Kroger
11,7702.8,Kroger
12,7510.61,Kroger
13,7443.9,Kroger
14,6914.87,Kroger
15,6380.22,Kroger
16,5322.79,Kroger
17,4980.39,Kroger
18,4143.05,Kroger
19,3640.7,Kroger
20,2870.48,Kroger
21,2411.22,Kroger
22,1686.61,Kroger
23,1248.81,Kroger
24,558.11,Kroger
25,127.98,Kroger
26,16.72,Kroger
27,0.56,Kroger
28,111.47,Kroger
29,644.59,Kroger
30,461.73,Kroger
31,667.89,Kroger
32,1277.73,Kroger
33,1825.33,Kroger
34,2650.38,Kroger
35,2926.42,Kroger
36,3950.33,Kroger
1,3344.06,Costco
2,3950.71,Costco
3,4357.32,Costco
4,4964.29,Costco
5,5207.54,Costco
6,5804.12,Costco
7,6121.39,Costco
8,6546.6,Costco
9,6364.31,Costco
10,6778.43,Costco
11,6841.36,Costco
12,5944.94,Costco
13,6162.76,Costco
14,5842.59,Costco
15,5132.47,Costco
16,4670.66,Costco
17,4167.5,Costco
18,3550.16,Costco
19,2954.01,Costco
20,2096.24,Costco
21,2105.87,Costco
22,1581.49,Costco
23,755.64,Costco
24,254.73,Costco
25,370.8,Costco
26,-32.1,Costco
27,31.73,Costco
28,-33.88,Costco
29,300.45,Costco
30,534.51,Costco
31,577.62,Costco
32,856.49,Costco
33,1297.06,Costco
34,2270.82,Costco
35,2483.47,Costco
36,3211.4,Costco
1,4556.06,Schwarz
2,5499.62,Schwarz
3,5930.85,Schwarz
4,7111.04,Schwarz
5,7856.17,Schwarz
6,8348.32,Schwarz
7,8730.21,Schwarz
8,9141.29,Schwarz
9,9388.13,Schwarz
10,8791.41,Schwarz
11,9624.6,Schwarz
12,9052.42,Schwarz
13,8446.73,Schwarz
14,7976.42,Schwarz
15,7522.15,Schwarz
16,6680.64,Schwarz
17,5512.99,Schwarz
18,5507.31,Schwarz
19,4234.12,Schwarz
20,3635.55,Schwarz
21,2508.36,Schwarz
22,2234.51,Schwarz
23,1353.29,Schwarz
24,895.19,Schwarz
25,167.18,Schwarz
26,359.45,Schwarz
27,142.67,Schwarz
28,302.68,Schwarz
29,103.21,Schwarz
30,462.05,Schwarz
31,1480.79,Schwarz
32,1387.24,Schwarz
33,2250.16,Schwarz
34,3259.91,Schwarz
35,3860.05,Schwarz
36,4791.91,Schwarz
1,4811.1,Lidl
2,5838.32,Lidl
3,6348.25,Lidl
4,7731.2,Lidl
5,8085.33,Lidl
6,8578.88,Lidl
7,9331.25,Lidl
8,9450.45,Lidl
9,9470.86,Lidl
10,9507.71,Lidl
11,9798.1,Lidl
12,9356.47,Lidl
13,8946.14,Lidl
14,8641.72,Lidl
15,7540.47,Lidl
16,6866.97,Lidl
17,6115.2,Lidl
18,5348.28,Lidl
19,4444.13,Lidl
20,3532.43,Lidl
21,2756.54,Lidl
22,1994.68,Lidl
23,1211.89,Lidl
24,646.5,Lidl
25,448.49,Lidl
26,-55.56,Lidl
27,-226.55,Lidl
28,-18.19,Lidl
29,207.85,Lidl
30,1035.35,Lidl
31,926.12,Lidl
32,1861.67,Lidl
33,2531.84,Lidl
34,2934.63,Lidl
35,4172.32,Lidl
36,4654.21,Lidl
1,2618.49,Target
2,3834.1,Target
3,3906.09,Target
4,4856.31,Target
5,5086.24,Target
6,5945.26,Target
7,6138.19,Target
8,6055.78,Target
9,6134.57,Target
10,6054.66,Target
11,6133.48,Target
12,5991.06,Target
13,5706.56,Target
14,5458.7,Target
15,5117.74,Target
16,4587.13,Target
17,3835.6,Target
18,3145.16,Target
19,3140.84,Target
20,2174.33,Target
21,1652.99,Target
22,1194.37,Target
23,504.67,Target
24,425.55,Target
25,157.58,Target
26,203.06,Target
27,142.86,Target
28,29.27,Target
29,340.56,Target
30,444.16,Target
31,684.17,Target
32,1109.79,Target
33,1496.39,Target
34,1964.41,Target
35,2534.27,Target
36,2924.72,Target
